epoch,Training Loss,Valid. Loss,Perplexity,Training Time,Validation Time
1,2.282714592884062,2.273614820195179,9.7629,0:15:29,0:06:35
2,2.0203053641801425,2.227401932723382,9.2759,0:15:30,0:06:36
3,1.7877221289765377,2.266675696633999,9.6478,0:15:30,0:06:36
4,1.5699778636821375,2.3437512420166557,10.4218,0:15:29,0:06:36
5,1.3679570618046737,2.454709796286097,11.6486,0:15:30,0:06:36
6,1.1831716471991656,2.5736352308318504,13.1186,0:15:30,0:06:36
7,1.0164050267985472,2.6836473754613226,14.6467,0:15:30,0:06:36
8,0.8674535481670496,2.77334525320265,16.019,0:15:30,0:06:36
9,0.7295759777256736,2.872641127347167,17.6933,0:15:30,0:06:36
10,0.6058064365203696,2.968043440872548,19.4648,0:15:31,0:06:37
