epoch,Training Loss,Valid. Loss,Perplexity,Training Time,Validation Time
1,3.111638860004704,3.1466839228357584,23.5,0:00:10,0:00:02
2,2.227449879413698,2.9949206695670174,20.0065,0:00:10,0:00:02
3,1.1047247731831016,3.36721946370034,29.0293,0:00:10,0:00:02
4,0.4779385233797678,4.110912758679617,63.2551,0:00:10,0:00:02
5,0.2520552895900725,4.506236644018264,94.4214,0:00:10,0:00:02
6,0.2094329371608271,4.245088841233935,70.3235,0:00:10,0:00:02
7,0.1734432786395744,4.5813042152495616,97.8726,0:00:10,0:00:02
8,0.1570043007158369,4.549480387142726,94.9581,0:00:10,0:00:02
9,0.100319709897321,4.932391921679179,138.8391,0:00:10,0:00:02
10,0.0981695092805461,4.523805658022563,92.6841,0:00:10,0:00:02
